path,publisher,source_url,retrieved_at_utc,bytes,sha256,git_blob_in_51c4b6e,rights_basis,repo_status
data/metadata/data_gov_my/raw/api_data-catalogue_air_pollution_limit5_20260924T115144+0800.json,data.gov.my (DOE/DOSM dataset),https://api.data.gov.my/data-catalogue?id=air_pollution&limit=5,2026-09-24T03:51:44Z,333,2ee96f17570b80ea389c990e0278f33d9bce85a3f537975f4a197ccb1f86fa25,666867e13bca77ff85315d672d69e0420dfbe4c6,Catalogue page states CC BY 4.0 for air_pollution; attribution required,tracked
data/metadata/data_gov_my/raw/api_data-catalogue_air_pollution_sort-date_limit3_20260924T115329+0800.json,data.gov.my (DOE/DOSM dataset),https://api.data.gov.my/data-catalogue?id=air_pollution&sort=-date&limit=3,2026-09-24T03:53:29Z,203,6b5aed305d55716aa09f2112413d8e3c916893fea6cd6bba1e5029a429e8b223,867f437318500e410a3d190ba541ebe10289bf76,Catalogue page states CC BY 4.0 for air_pollution; attribution required,tracked
data/metadata/data_gov_my/raw/api_data-catalogue_id-rainfall_404_20260924T115346+0800.json,data.gov.my,https://api.data.gov.my/data-catalogue?id=rainfall&limit=1,2026-09-24T03:53:46Z,92,43f349034e2272bca3deccab7df766380b0b440bdd50821b64022e2c693ecb47,4a8f4847cf2562ee895b1db8d046f6c8d3f7ff70,HTTP 404 error body from the CC BY 4.0 open API; no dataset content,tracked
data/metadata/data_gov_my/raw/catalogue_index_20260924T114902+0800.csv,data.gov.my (FloodGuard-parsed index),https://data.gov.my/data-catalogue,2026-09-24T03:49:02Z,29475,3f73cce9afaf3e4a0c81a443370d907e2b4706e309b2c19e88e250e34414dee3,82acb8b8bf254ab0643e7134050ca84f48e3f600,"FloodGuard-parsed catalogue metadata (ids, titles, agencies, dates); data.gov.my open data, CC BY 4.0 (developer.data.gov.my/faq); attribution required",tracked
data/metadata/data_gov_my/raw/datagovmy-meta_dashboards_weather_and_climate_20260924T115515+0800.json,data-gov-my/datagovmy-meta (GitHub),https://raw.githubusercontent.com/data-gov-my/datagovmy-meta/main/dashboards/weather_and_climate.json,2026-09-24T03:55:15Z,1458,299ad77fc1191a909bcbf1573cf3f83d9b5c6f6731dc7b59e63d3bf657151345,37b1f016a77f08e2224265cc51a841e5d114f1e8,MIT licence (copyright + permission notice must accompany copies); kept local,untracked_local_only
data/metadata/data_gov_my/raw/probe_log_20260924.tsv,FloodGuard,n/a,2026-09-24T03:50:44Z/03:56:57Z,4773,a1c8996a2c7b128a4ff5c1db68a35eea63f16ca0a1342f64263aeac272a5871a,50fe91b75bfd44abd3a6a11b240d6231b3dd3f40,"FloodGuard-generated request log (URLs, status, sizes, response headers)",tracked
data/metadata/data_gov_my/raw/weather_and_climate_bayan-lepas_pageProps_trimmed_20260924T115044+0800.json,data.gov.my dashboard (METMalaysia data),https://data.gov.my/dashboard/weather-and-climate/bayan-lepas (__NEXT_DATA__ pageProps),2026-09-24T03:50:44Z,74039,b21ef8d9e3493f1187ff6299fcd6e051a32c194771a8abd4a0be45f3cf635e2a,7aa2229fae20927a40b438c6ecc768476a5f6751,Dashboard shows no licence; CC BY 4.0 coverage of dashboard-only data not stated (UNKNOWN),untracked_local_only
data/metadata/data_gov_my/raw/weather_and_climate_butterworth_pageProps_trimmed_20260924T115101+0800.json,data.gov.my dashboard (METMalaysia data),https://data.gov.my/dashboard/weather-and-climate/butterworth (__NEXT_DATA__ pageProps),2026-09-24T03:51:01Z,74333,e8554da117d9d340047d9faad9f66b5fc250106e115069fb6454079b416db70f,0c890d5500907deb2139d0f43530367f20650ee1,Dashboard shows no licence; CC BY 4.0 coverage of dashboard-only data not stated (UNKNOWN),untracked_local_only
data/metadata/data_gov_my/raw/weather_and_climate_stations_20260924T115044+0800.json,data.gov.my dashboard (METMalaysia data),https://data.gov.my/dashboard/weather-and-climate/bayan-lepas (station dropdown in pageProps),2026-09-24T03:50:44Z,4911,c45d2e015fe62c0e2eecfba5a50729847824cb2e13bb9598b18dcb5c7cebdf2b,cd416b7c4426e57b5e24ca3c34e2e01871ad45a4,Dashboard shows no licence; CC BY 4.0 coverage of dashboard-only data not stated (UNKNOWN),untracked_local_only
data/metadata/gis/raw/arcgis_maps_floodforecasting_kln_MapServer_20260924.json,JPS,https://maps.water.gov.my/arcgis/rest/services/floodforecast/floodforecasting_kln/MapServer?f=json,2026-09-24T04:13:51Z,2336,f4c09964f5e6ad9b0b7cd8f48325107d492bc9dfae7c2e83fd0f4f74909a8d81,7a2b315946bfcd677665d03a888232b8450727b9,"JPS ArcGIS service, copyrightText empty; JPS copyright notice applies to JPS content (PERMISSION REQUIRED)",untracked_local_only
