id,category,subcategory,data_source,data_as_of,title
air_pollution,Environment,Pollution,JAS;DOSM,2022-12-31 23:59,Monthly Air Pollution
almanak_astronomi,Data Dictionaries,Other,MYSA,2026-04-01 16:11:00.000 +08:00,Astronomy Almanac 
arc_dosm,Metadata,Site Content,DOSM,2026-09-24 08:00,DOSM's Advance Release Calendar
arrivals,Demography,Migration,Imigresen,2024-10-31 23:59,Monthly Arrivals by Nationality & Sex
arrivals_soe,Demography,Migration,Imigresen,2024-10-31 23:59,"Monthly Arrivals by State of Entry, Nationality & Sex"
bec,Data Dictionaries,National,DOSM,2026-03,Broad Economic Categories (BEC)
births,Demography,Births,JPN,2023-07-31 23:59,Daily Live Births
births_annual,Demography,Births,JPN;DOSM,2024,Annual Live Births
births_annual_sex_ethnic,Demography,Births,JPN;DOSM,2024,Annual Live Births by Sex & Ethnicity
births_annual_sex_ethnic_state,Demography,Births,JPN;DOSM,2024,"Annual Live Births by State, Sex, & Ethnicity"
births_annual_state,Demography,Births,JPN;DOSM,2024,Annual Live Births by State
births_district_sex,Demography,Births,JPN;DOSM,2024,Annual Live Births by District & Sex
blood_donations,Healthcare,Healthcare Programs,PDN;MOH,2026-09-23 23:59,Daily Blood Donations by Blood Group
blood_donations_state,Healthcare,Healthcare Programs,PDN;MOH,2026-09-23 23:59,Daily Blood Donations by Blood Group & State
bop_balance,National Accounts,Balance of Payments,DOSM,2026-Q2,Balance of Key BOP Components
cellular_subscribers,Communications,Telecommunications,MCMC,2021,Cellular Subscribers by Plan Type
completion_school_state,Education,Education Outcomes,MOE,2022,School Completion Rates by State
cosmetic_notifications,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Notified Cosmetic Products
cosmetic_notifications_cancelled,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Cancelled Cosmetic Product Notifications
cosmetics_manufacturers,Healthcare,Regulation,NPRA;MOH,2026-09-20 23:59,Approved Manufacturers of Cosmetic Products
covid_cases,Healthcare,Infectious Diseases,MOH,2025-05-31 23:59,Daily COVID-19 Cases by State
covid_cases_age,Healthcare,Infectious Diseases,MOH,2025-05-31 23:59,Daily COVID-19 Cases by Age Group & State
covid_cases_vaxstatus,Healthcare,Infectious Diseases,MOH,2025-05-31 23:59,Daily COVID-19 Cases by Vaccination Status & State
covid_deaths_linelist,Healthcare,Infectious Diseases,MOH,2025-05-31 23:59,Transactional Records: Deaths due to COVID-19
cpi_3d,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI by Group (3-digit)
cpi_4d,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI by Class (4-digit)
cpi_5d,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI by Subclass (5-digit)
cpi_annual,Prices,Consumer Prices,DOSM,2025,Annual CPI by Division (2-digit)
cpi_annual_inflation,Prices,Consumer Prices,DOSM,2025,Annual CPI Inflation by Division (2-digit)
cpi_core,Prices,Consumer Prices,DOSM,2026-08,Monthly Core CPI by Division (2-digit)
cpi_core_inflation,Prices,Consumer Prices,DOSM,2026-08,Monthly Core CPI Inflation by Division (2-digit)
cpi_headline,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI by Division (2-digit)
cpi_headline_inflation,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI Inflation by Division (2-digit)
cpi_lowincome,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI for Low-Income Households
cpi_state,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI by State & Division (2-digit)
cpi_state_inflation,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI Inflation by State & Division (2-digit)
cpi_strata,Prices,Consumer Prices,DOSM,2026-08,Monthly CPI by Strata & Division (2-digit)
crime_district,Public Safety,Crime,PDRM;DOSM,2023-12-31 23:59,Crimes by District & Crime Type
crops_district_area,Economic Sectors,Agriculture,MAFS;DOA;DOSM,2022,Crop Area by District
crops_district_production,Economic Sectors,Agriculture,MAFS;DOA;DOSM,2022,Crop Production by District
crops_state,Economic Sectors,Agriculture,MAFS;DOA;DOSM,2022,Crop Area and Production by State
currency_codes,Data Dictionaries,International,JDN,2025,Currency Codes (ISO 4217)
currency_in_circulation,Financial Markets,Money Supply,BNM,2026-06,Monthly Currency in Circulation
currency_in_circulation_annual,Financial Markets,Money Supply,BNM,2025,Annual Currency in Circulation
datasets,Metadata,Site Content,JDN;KD,2026-09-23 23:59,List of Datasets on data.gov.my
deaths,Demography,Deaths,JPN;DOSM,2024,Annual Deaths
deaths_district_sex,Demography,Deaths,JPN;DOSM,2024,Annual Deaths by District & Sex
deaths_early_childhood,Demography,Deaths,JPN;DOSM,2024,Annual Early Childhood Deaths
deaths_early_childhood_sex,Demography,Deaths,JPN;DOSM,2024,Annual Early Childhood Deaths by Sex
deaths_early_childhood_state,Demography,Deaths,JPN;DOSM,2024,Annual Early Childhood Deaths by State
deaths_early_childhood_state_sex,Demography,Deaths,JPN;DOSM,2024,Annual Early Childhood Deaths by State & Sex
deaths_maternal,Demography,Deaths,JPN;DOSM,2024,Annual Maternal Deaths
deaths_maternal_state,Demography,Deaths,JPN;DOSM,2024,Annual Maternal Deaths by State
deaths_sex_ethnic,Demography,Deaths,JPN;DOSM,2024,Annual Deaths by Sex & Ethnicity
deaths_sex_ethnic_state,Demography,Deaths,JPN;DOSM,2024,"Annual Deaths by State, Sex, & Ethnicity"
deaths_state,Demography,Deaths,JPN;DOSM,2024,Annual Deaths by State
domains,Public Administration,Digital Infrastructure,MYNIC;KD,2025-01,Number of Registered .MY Domains
domains_dnssec,Public Administration,Digital Infrastructure,MYNIC;KD,2025-01,Number of Registered .MY Domains with DNSSEC
domains_idn,Public Administration,Digital Infrastructure,MYNIC;KD,2025-01,Number of Registered Internationalised .MY Domains
domains_ipv6,Public Administration,Digital Infrastructure,MYNIC;KD,2025-01,Number of Registered .MY Domains with IPv6 DNS
drug_addicts_age,Public Safety,Drug Addiction,AADK;KDN,2023,Drug Addicts by State & Age Group
drug_addicts_drugtype,Public Safety,Drug Addiction,AADK;KDN,2023-12-31 09:41:00.000 +08:00,Drug Addicts by State & Drug Type
drug_addicts_education,Public Safety,Drug Addiction,AADK;KDN,2023-12-31 00:00:00.000 +08:00,Drug Addicts by Highest Education Level
drug_addicts_occupation,Public Safety,Drug Addiction,AADK;KDN,2023,Drug Addicts by State & Occupation
drug_arrests_age,Public Safety,Drug Addiction,PDRM;KDN,2023,Drug Arrests by Sex & Age
drug_arrests_ethnicity,Public Safety,Drug Addiction,PDRM;KDN,2023,Drug Arrests by Sex & Ethnicity
economic_indicators,Statistical Indicators,Economic Indicators,DOSM,2026-05,Malaysian Economic Indicators
electricity_access,Environment,Energy,TNB;SESB;SWK-ENERGY;ST,2022,Households with Access to Electricity
electricity_consumption,Environment,Energy,TNB;SESB;SWK-ENERGY;ST;DOSM,2024-09-30 23:59,Monthly Electricity Consumption
electricity_supply,Environment,Energy,TNB;SESB;SWK-ENERGY;ST;DOSM,2024-09-30 23:59,Electricity Supply
employment_sector,Labour Markets,Labour Force Survey,DOSM,2022,Employment by MSIC Sector and Sex
enrolment_school_district,Education,Education Outcomes,MOE,2025,Enrolment in Government Schools by District
epf_dividend,Public Welfare,Retirement,EPF,2025,Annual EPF Dividend
exchangerates,Financial Markets,Foreign Exchange,BNM,2026-08-31 12:00,Monthly Exchange Rates
exchangerates_daily_0900,Financial Markets,Foreign Exchange,BNM,2026-09-24 09:00,Daily Exchange Rates (0900)
exchangerates_daily_1130,Financial Markets,Foreign Exchange,BNM,2026-09-23 11:30,Daily Exchange Rates (1130)
exchangerates_daily_1200,Financial Markets,Foreign Exchange,BNM,2026-09-23 12:00,Daily Exchange Rates (1200)
exchangerates_daily_1700,Financial Markets,Foreign Exchange,BNM,2026-09-23 17:00,Daily Exchange Rates (1700)
fdi_flows,National Accounts,Balance of Payments,DOSM,2025-Q3,Foreign Direct Investment (FDI) Flows
federal_budget_moe,Public Administration,Public Finance,MOF,2022,Annual Budget Allocation for the Ministry of Education
federal_budget_moh,Public Administration,Public Finance,MOF,2022,Annual Budget Allocation for the Ministry of Health
federal_finance_qtr,Public Administration,Public Finance,JANM,2024-Q1,Quarterly Federal Government Finance
federal_finance_qtr_de,Public Administration,Public Finance,JANM,2024-Q1,Quarterly Federal Government Development Expenditure by Function
federal_finance_qtr_oe,Public Administration,Public Finance,JANM,2024-Q1,Quarterly Federal Government Operating Expenditure by Object
federal_finance_qtr_revenue,Public Administration,Public Finance,JANM,2024-Q1,Quarterly Federal Government Revenue
federal_finance_year,Public Administration,Public Finance,JANM,2023,Annual Federal Government Finance
federal_finance_year_de,Public Administration,Public Finance,JANM,2023,Annual Federal Government Development Expenditure by Function
federal_finance_year_oe,Public Administration,Public Finance,JANM,2023,Annual Federal Government Operating Expenditure by Object
federal_finance_year_revenue,Public Administration,Public Finance,JANM,2023,Annual Federal Government Revenue
fertility,Demography,Fertility,DOSM,2024,TFR and ASFR
fertility_state,Demography,Fertility,DOSM,2024,TFR and ASFR by State
fish_landings,Economic Sectors,Agriculture,Perikanan,2023-12,Monthly Landings of Marine Fish by State
forest_reserve,Environment,Land Use,Perhutanan;DOSM,2021,Area of Permanent Forest Reserves
forest_reserve_state,Environment,Land Use,Perhutanan;DOSM,2021,Area of Permanent Forest Reserves by State
fuelprice,Prices,Commodity Prices,MOF,2026-09-24 00:01,Price of Petroleum & Diesel
gdp_annual_nominal_demand,National Accounts,Gross Domestic Product,DOSM,2025,Annual Nominal GDP by Expenditure Type
gdp_annual_nominal_demand_granular,National Accounts,Gross Domestic Product,DOSM,2025,Annual Nominal GDP by Expenditure Subtype
gdp_annual_nominal_income,National Accounts,Gross Domestic Product,DOSM,2024,Annual Nominal GDP by Income Component
gdp_annual_nominal_supply,National Accounts,Gross Domestic Product,DOSM,2025,Annual Nominal GDP by Economic Sector
gdp_annual_nominal_supply_granular,National Accounts,Gross Domestic Product,DOSM,2025,Annual Nominal GDP by Economic Subsector
gdp_annual_real_demand,National Accounts,Gross Domestic Product,DOSM,2025,Annual Real GDP by Expenditure Type
gdp_annual_real_demand_granular,National Accounts,Gross Domestic Product,DOSM,2025,Annual Real GDP by Expenditure Subtype
gdp_annual_real_supply,National Accounts,Gross Domestic Product,DOSM,2025,Annual Real GDP by Economic Sector
gdp_annual_real_supply_granular,National Accounts,Gross Domestic Product,DOSM,2025,Annual Real GDP by Economic Subsector
gdp_district_real_supply,National Accounts,Gross Domestic Product,DOSM,2020,Annual Real GDP by District & Economic Sector
gdp_gni_annual_nominal,National Accounts,Gross Domestic Product,DOSM,2025,Annual Nominal GDP & GNI: 1947 to Present
gdp_gni_annual_real,National Accounts,Gross Domestic Product,DOSM,2025,Annual Real GDP & GNI: 1970 to Present
gdp_lookup,National Accounts,Gross Domestic Product,DOSM,2024-Q1,Lookup Table: GDP
