layer_id,layer_name,fg_year_from_name,geometry_type,feature_count,tarikh_field_type,fg_dated_count,fg_undated_count,fg_distinct_dates,fg_min_date,fg_max_date,source_url,retrieved_at
0,Lokasi Banjir Tahun 1991,1991,esriGeometryPoint,40,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/0,2026-09-24T12:33:01+08:00
1,Kawasan Banjir Tahun 1991,1991,esriGeometryPolygon,38,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/1,2026-09-24T12:33:01+08:00
2,Lokasi Banjir Tahun 1995,1995,esriGeometryPoint,128,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/2,2026-09-24T12:33:01+08:00
3,Kawasan Banjir Tahun 1995,1995,esriGeometryPolygon,67,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/3,2026-09-24T12:33:01+08:00
4,Lokasi Banjir Tahun 1998,1998,esriGeometryPoint,57,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/4,2026-09-24T12:33:01+08:00
5,Kawasan Banjir Tahun 1998,1998,esriGeometryPolygon,55,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/5,2026-09-24T12:33:01+08:00
6,Lokasi Banjir Tahun 1999,1999,esriGeometryPoint,245,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/6,2026-09-24T12:33:01+08:00
7,Kawasan Banjr Tahun 1999,1999,esriGeometryPolygon,80,String,28,52,5,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/7,2026-09-24T12:33:01+08:00
8,Lokasi Banjir Tahun 2000,2000,esriGeometryPoint,134,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/8,2026-09-24T12:33:01+08:00
9,Kawasan Banjir Tahun 2000,2000,esriGeometryPolygon,47,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/9,2026-09-24T12:33:01+08:00
10,Lokasi Banjir Tahun 2006,2006,esriGeometryPoint,24,,,,,,,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer/10,2026-09-24T12:33:01+08:00
