candidate_id,dataset,publisher_or_host,endpoint,access_method,format,auth,crs_as_published,crs_evidence,penang_feature_count,temporal_coverage,event_dated,dataset_type,verified,classification,role
JPS-FEED,latestreadingstrendabc.json (station map feed),JPS / publicinfobanjir.water.gov.my,https://publicinfobanjir.water.gov.my/wp-content/themes/enlighten/data/latestreadingstrendabc.json,GET (site-internal; used by official /main/ map),JSON list (2725 national records),none,not declared,inferred WGS84 lat/lon: page calls L.marker([c d]),129 Penang records; 65/65 inventory IDs,current snapshot (Last-Modified 04:10:21Z and 04:30:22Z seen),no,station metadata + latest reading,probe,RECOMMENDED,station coordinates + basin/sub-basin for RF and WL stations
SPHTN-DISTRICT,SEMPADAN_DAERAH_SEMENANJUNG.geojson,JPS Pulau Pinang SPHTN portal (infobanjirjps.penang.gov.my),https://infobanjirjps.penang.gov.my/SPHTN.Assets/maplayers/SEMPADAN_DAERAH_SEMENANJUNG.geojson,GET static file,GeoJSON FeatureCollection (8186440 B),none,no crs member,RFC 7946 default (lon/lat WGS84); first coordinates 103.55 1.93,not counted (portal filters KOD_NEGERI='07'),Last-Modified 2024-02-13,no,administrative boundary,probe (first 4096 B),OPTIONAL,district context / dashboard (DOSM layer is smaller)
SPHTN-BASIN,BASIN_SEMENANJUNG.geojson,JPS Pulau Pinang SPHTN portal,https://infobanjirjps.penang.gov.my/SPHTN.Assets/maplayers/BASIN_SEMENANJUNG.geojson,GET static file,GeoJSON FeatureCollection (10194589 B),none,no crs member,RFC 7946 default (lon/lat WGS84),not counted (full file not downloaded),Last-Modified 2024-02-14,no,river basin boundary (RB_NAME RB_ID),probe (first 4096 B),RECOMMENDED,river basin / catchment context
SPHTN-RIVER,SUNGAI_UTAMA_SEMENANJUNG.geojson,JPS Pulau Pinang SPHTN portal,https://infobanjirjps.penang.gov.my/SPHTN.Assets/maplayers/SUNGAI_UTAMA_SEMENANJUNG.geojson,GET static file,GeoJSON FeatureCollection (7505092 B),none,no crs member,RFC 7946 default (lon/lat WGS84),not counted (has STATE/STATE_CODE fields),Last-Modified 2024-02-14,no,main river network,probe (first 4096 B),OPTIONAL,distance-to-river / dashboard
DOSM-DISTRICT,administrative_2_district.geojson,DOSM (github.com/dosm-malaysia/data-open),https://raw.githubusercontent.com/dosm-malaysia/data-open/main/datasets/geodata/administrative_2_district.geojson,GET static file,GeoJSON (947755 B; 160 districts; simplified),none (DOSM Open Data Licence),urn:ogc:def:crs:OGC:1.3:CRS84,explicit GeoJSON crs member,5 districts,last commit 2022-06-22,no,administrative boundary (generalised),probe (full file; Penang trimmed),RECOMMENDED,district boundaries for dashboard / aggregation
PEGIS-SEJARAH,Sejarah Banjir (27 layers 1991-2017),Penang GeoHub pegis.penang.gov.my (ArcGIS Enterprise; owner ketuakelas),https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Sejarah_Banjir/FeatureServer,ArcGIS REST query (public),point + polygon features,none,custom WKT My_G_Cassini_Pulau_Pinang_&_Seberang_Perai (GDM2000 Cassini) no wkid,service spatialReference.wkt,2222 features (see pegis_sejarah_banjir_layers.csv),1991-2017 (dated per feature only 2011-2015 and 2017),partly (date-level; 2017 has free-text time),observed historical flood locations/extents,probe,OPTIONAL,historical flood-event context / EDA; no overlap with JPS 2024+
PEGIS-HOTSPOT,Hotspot Banjir,Penang GeoHub pegis.penang.gov.my,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Hotspot_Banjir/FeatureServer,ArcGIS REST query (public),point (layer 0) + polygon (layer 1),none,custom WKT GDM2000 Cassini Penang no wkid,service spatialReference.wkt,124 + 124,no date field; item created 2024-04-18,no,flood hotspot / flood-prone area (static),probe,OPTIONAL,static hazard context + dashboard
PEGIS-KAWASAN,Kawasan Banjir,Penang GeoHub pegis.penang.gov.my,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Kawasan_Banjir/FeatureServer/1,ArcGIS REST query (public),polygon,none,custom WKT GDM2000 Cassini Penang no wkid,service spatialReference.wkt,124,no date field; item modified 2026-07-13,no,flood-prone area polygons (same id_hotspot keys as Hotspot),probe,OPTIONAL,static hazard context
PEGIS-POTENSI,Lokasi Berpotensi Banjir,Penang GeoHub pegis.penang.gov.my,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Lokasi_Berpotensi_Banjir/FeatureServer/2,ArcGIS REST query (public),point,none,custom WKT GDM2000 Cassini Penang no wkid,service spatialReference.wkt,93,item snippet says Tahun 2023,no,potential flood locations (static),probe,OPTIONAL,static hazard context
PEGIS-PPS,Pusat Pemindahan Banjir,Penang GeoHub pegis.penang.gov.my,https://pegis.penang.gov.my/arcgis/rest/services/Hosted/Pusat_Pemindahan_Banjir/FeatureServer/1,ArcGIS REST query (public),point,none,custom WKT GDM2000 Cassini Penang no wkid,service spatialReference.wkt,377,tarikh field not profiled,no,evacuation centre locations (static),probe (schema + count),DEFERRED,dashboard only; contains contact fields (not needed)
