jps_internal_id,jps_display_station_id,fg_display_station_id_flag,station_name,state,district,latest_observation_time,fg_freshness_minutes,fg_freshness_status,source_row,source_url,discovered_at
 5402002_,5402002,ok,Kolam Bersih,Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:30:00,15,reporting,48,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
19340,5105051,ok,Kolam Takongan di Bkt. Panchor P. Pinang (RHN),Pulau Pinang,Seberang Perai Selatan,2026-09-24T01:45:00,0,reporting,46,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
25963,5304047,ok,Kolam Air Chrk. To' Kun di  P.Pinang (RHN),Pulau Pinang,Seberang Perai Tengah,2026-09-24T01:30:00,15,reporting,42,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
25965,5204049,ok,Ldg. Batu Kawan di P.Pinang (RHN),Pulau Pinang,Seberang Perai Selatan,2026-09-24T01:45:00,0,reporting,43,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
25966,0000291RF,ok,Kg. Seronok (RHN),Pulau Pinang,Barat Daya Pulau Pinang,2026-09-24T01:45:00,0,reporting,56,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
26185,No Data,no_data_text,"Lengkok Sg. Emas, Batu Feringghi",Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:15:00,30,reporting,47,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
26186,,missing,Permatang Tok Jaya,Pulau Pinang,Seberang Perai Utara,2026-09-24T01:30:00,15,reporting,39,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
26189,No Data,no_data_text,Politeknik Balik Pulau,Pulau Pinang,Barat Daya Pulau Pinang,2026-09-24T01:15:00,30,reporting,55,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
26337,5402001,ok,Klinik Bkt. Bendera di P. Pinang (RHN),Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:45:00,0,reporting,49,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27587,1910131RF,ok,Lorong Batu Lanchang (F2),Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:45:00,0,reporting,34,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27603,1910111RF,duplicate,Kolam Bersih (F2),Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:45:00,0,reporting,1,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27605,1910121RF,ok,Kolam Takungan Air Itam (F2),Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:45:00,0,reporting,2,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27608,1910111RF,duplicate,Kolam Takungan Sg. Dondang M/S (F2),Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:45:00,0,reporting,3,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27612,1910171RF,ok,Kg. Dua Bukit (F2),Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:45:00,0,reporting,4,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
27613,1910181RF,ok,Muara Sg. Pinang S18 (F2),Pulau Pinang,Timur Laut Pulau Pinang,2026-09-24T01:45:00,0,reporting,5,https://publicinfobanjir.water.gov.my/wp-content/themes/shapely/agency/searchresultrainfall.php?state=PNG&district=ALL&station=ALL&loginStatus=0&language=0,2026-09-24T01:57:44+08:00
